point_from,point_to,weight
2437652922,26459797,1
82241907,152992187,1
79459832,2691817417,2
2360323201,1398605364,1
25807167,309579914,1
599745022,2992750166,1
47862321,496854680,1
154493855,20644420,1
458805681,752078492,2
370329077,275622946,1
14711982,9444022,1
178183112,16356699,2
64980891,1116121759,2
2154218233,2154193748,2
2473092354,1920668550,1
55566167,144840737,1
1899850260,23935607,1
178183112,397153813,2
14711982,340376505,2
193700451,2459169938,2
1405309777,39935935,2
66063257,300870992,1
727039754,436502521,1
238768817,217761175,2
19524046,351399926,1
34472348,590023803,1
187138183,44496152,2
17646796,51271144,1
162266849,2710541450,1
55566167,236729223,1
714051386,60572195,1
342065781,25795054,2
62208019,138294089,1
14389384,2710541450,1
1955720384,347048522,2
2686563469,55566167,1
26373938,590023803,1
174573325,36951856,1
22874109,169326150,2
2360323201,412180717,1
162266849,20658917,1
116358110,17021576,1
412180717,340376505,1
1017123967,599745022,1
1695442555,170276973,1
23699500,599745022,1
338821106,35466620,1
366531168,270294818,2
2322065402,599745022,1
62208019,590023803,1
22874109,130417544,1
2437652922,500478646,1
16896391,2831363550,1
714051386,1245735506,2
412180717,38106977,1
480300122,1849850612,1
410748351,193700451,1
21848593,14711982,2
525075235,376551482,2
27608469,300641932,1
2360323201,189467550,1
41298522,239964366,1
72549881,20644420,1
2473092354,2470821504,1
2360323201,2313317216,1
18096229,99233470,2
77182888,23747654,2
23910994,51271144,1
103845812,1248431851,2
54522269,1693969812,1
23411203,44335896,2
232741193,167221856,1
25975572,226904642,1
239964366,22006180,1
17263897,2831363550,1
86277690,2995021182,2
593577212,99233470,1
1600557554,704903653,2
14473703,450414092,2
2891662632,233294351,3
17569860,2344450981,1
2941433214,885751759,1
53645593,599745022,1
1695442555,42542097,1
2437652922,138294089,1
436502521,397153813,2
36951856,157996080,2
72971775,2710541450,1
20644420,229376260,1
77182888,300870992,1
64980891,340376505,1
538056844,99233470,1
124948370,704903653,1
14223097,169326150,1
2459169938,14711982,2
2437652922,949291260,1
99233470,337995180,2
2202355524,376551482,2
99233470,2975432070,2
769193119,711802766,2
599745022,66063257,2
64980891,2322065402,2
1131146245,240049848,2
590023803,26452697,3
26119836,340376505,1
247696871,33894316,1
130417544,1132200937,1
98605029,46818975,1
79459832,51271144,1
450414092,20644420,1
160132829,1364376428,2
19580931,22607317,2
2437652922,797077016,1
359236505,19707925,2
71416635,599745022,1
177134723,27502152,2
144840737,2385999008,2
2269865773,20644420,1
365105604,160132829,1
821176802,99233470,1
3236121,556661091,1
19743434,146668548,2
14711982,61422376,2
38650214,486241691,2
177134723,2797758762,1
61348039,22607317,2
2322065402,1557009919,2
170276973,350209691,1
1059207842,2584746324,1
14707553,558279290,2
388702412,27176695,1
406835617,66063257,1
138294089,436502521,1
573614242,599745022,2
526411749,99233470,2
34094550,19178668,1
480300122,397153813,2
2360323201,3006153780,1
2437652922,600140001,1
2437652922,34172656,1
714051386,258750822,1
347048522,47862321,1
99233470,147040855,2
769335475,494505475,1
359236505,14473703,1
2402894750,1937077465,2
99233470,769335475,2
714051386,23747654,2
1580228064,169326150,2
291612312,14711982,2
406835617,99233470,1
14567099,36951856,1
247696871,135132634,2
23699500,340376505,1
61348039,2961908465,2
247696871,2797758762,1
990206568,320171714,1
599745022,1557009919,2
402509656,359236505,1
178183112,99233470,2
2322065402,340376505,1
226904642,2710541450,1
514182160,33026792,1
260677385,270294818,1
219552179,309579914,1
14711982,25807167,2
23411203,267601954,2
130123715,1398605364,1
2941433214,1690890258,1
61422376,1557009919,1
337002546,99233470,1
1017123967,2322065402,2
247696871,704903653,1
46076472,2360323201,1
347048522,3017288564,1
26989237,471589631,1
35084627,160132829,2
383603196,719655337,1
260581939,522628807,2
39935935,220616405,2
2360323201,38120739,1
14770241,19178668,1
37600849,14711982,2
138294089,450414092,2
23935607,61348039,1
14567099,21184634,2
21177426,99233470,2
130417544,544234417,1
26373938,24825958,2
2294201833,152604471,2
2313204931,55566167,2
54522269,14711982,2
9444022,35466620,1
64855519,51271144,1
359236505,26119836,2
61348039,20658917,1
19524046,394344436,2
2269865773,1874504276,1
178183112,337995180,2
2426118242,299682788,1
138294089,376551482,3
130417544,100658892,1
351399926,26459797,1
1116121759,1557009919,2
160132829,294340629,2
29178646,14567099,2
429438198,450414092,2
19580931,20644420,1
29424561,436502521,1
2402894750,23053753,1
2969344940,340376505,1
162266849,1240932972,2
347048522,20644420,1
2710541450,272701790,1
14711982,31103336,2
42357934,20644420,1
264598651,1116121759,2
24825958,2710541450,1
29927621,446232661,1
18933150,20644420,1
21552376,25805982,2
14711982,16356699,2
22223971,502866773,2
180755998,23747654,2
162266849,25805982,1
714051386,99233470,2
704903653,2710541450,1
272701790,422348926,2
25227822,23935607,2
33894316,24988494,2
410748351,42542097,1
34472348,19178668,1
22859657,14711982,2
1116121759,340376505,1
35084627,49477936,2
39935935,35084627,2
127025784,105459936,2
2105021,590023803,2
1116121759,885751759,2
907734912,340376505,1
19707925,614204775,1
31069840,2710541450,1
141146064,404060390,2
240049848,1099683991,1
138559532,2587278392,1
36951856,2408638574,1
779043331,82184658,1
53128314,14711982,2
431658017,2587278392,1
2437652922,281868409,1
340201168,20644420,1
2344450981,19178668,1
60572195,590023803,1
14707553,73850532,2
2273632160,2459169938,2
1512607639,275622946,1
151232782,2359256119,1
2459169938,19707925,2
14223097,275622946,1
826701510,2360323201,1
178183112,14707553,2
16947907,21552376,2
714051386,471589631,1
714051386,22874109,2
2385999008,14711982,2
25805982,2992750166,1
23935607,170276973,1
599185040,340376505,1
359236505,614204775,2
135132634,26976949,2
1312276951,216316484,1
35084627,16329558,2
55566167,16329558,2
201303134,20644420,1
2437652922,26382252,1
359236505,2831363550,2
26957668,19178668,1
38397609,16947907,1
42542097,340376505,1
233294351,99233470,1
1405309777,130123715,3
22116112,397153813,2
714051386,181892978,2
25227822,19440175,2
907734912,22607317,2
27225245,26989237,2
189467550,260677385,2
252930973,24113341,1
359236505,291612312,2
175261461,590023803,1
193700451,26373938,2
64980891,193700451,2
26373938,55566167,1
189467550,37179327,1
2814697776,2710541450,1
37413076,450414092,2
359236505,77182888,2
714051386,414621260,1
614204775,1512607639,2
768978024,20644420,1
57202693,37104990,2
359236505,73850532,2
14451059,34172656,2
2360323201,287591876,1
2459169938,2975432070,1
750772255,340376505,1
2601524623,358681085,2
38290921,590023803,2
19898890,23935607,2
162266849,1557009919,2
2360323201,2831363550,1
101325044,376679416,1
590023803,187138183,2
181892978,376679416,2
153753775,207602032,1
359236505,153410226,2
14711982,599745022,1
1132427582,1523549617,1
19898890,376679416,1
22310197,599745022,1
38397609,773658752,1
25000400,139614871,1
189467550,21855539,2
116093402,19178668,1
1017123967,2408638574,1
2105021,66063257,2
3236121,1398605364,2
1955720384,2587278392,3
28976669,1017123967,1
22871737,31069840,2
351399926,22871737,1
14223097,1269648894,1
1184986788,2273823290,1
162266849,450414092,2
36951856,413779729,2
193700451,23935607,2
262389370,138294089,1
346491432,373317699,3
2459169938,1059207842,3
3014154552,2710541450,1
43830965,515078963,1
193700451,450414092,2
15641984,193700451,2
14770241,2587278392,1
21855539,2718362810,1
22874109,162900239,1
23699500,397153813,2
340376505,14389384,3
98605029,170276973,1
973811635,99233470,1
116545134,20644420,1
2385999008,2570427830,1
289846547,2710541450,1
983376769,16329558,2
360360817,537027271,1
23901130,20644420,1
99233470,269746147,2
108169840,1899850260,2
22116112,772477398,1
38120739,913493396,3
46076472,160132829,1
153410226,414621260,1
772477398,599745022,1
238352817,14711982,1
2344450981,346491432,1
14223097,340376505,1
359236505,1512607639,2
365105604,20644420,1
15902589,35466620,1
